facet	hue	bin_center	mean_density	error	n_seeds
cross	3	8.360649e-06	0.000000e+00	0.000000e+00	100
cross	3	8.396921e-06	0.000000e+00	0.000000e+00	100
cross	3	8.433193e-06	0.000000e+00	0.000000e+00	100
cross	3	8.469465e-06	0.000000e+00	0.000000e+00	100
cross	3	8.505736e-06	0.000000e+00	0.000000e+00	100
cross	3	8.542008e-06	0.000000e+00	0.000000e+00	100
cross	3	8.578280e-06	0.000000e+00	0.000000e+00	100
cross	3	8.614552e-06	0.000000e+00	0.000000e+00	100
cross	3	8.650824e-06	0.000000e+00	0.000000e+00	100
cross	3	8.687095e-06	0.000000e+00	0.000000e+00	100
cross	3	8.723367e-06	0.000000e+00	0.000000e+00	100
cross	3	8.759639e-06	0.000000e+00	0.000000e+00	100
cross	3	8.795911e-06	0.000000e+00	0.000000e+00	100
cross	3	8.832183e-06	0.000000e+00	0.000000e+00	100
cross	3	8.868454e-06	0.000000e+00	0.000000e+00	100
cross	3	8.904726e-06	0.000000e+00	0.000000e+00	100
cross	3	8.940998e-06	0.000000e+00	0.000000e+00	100
cross	3	8.977270e-06	0.000000e+00	0.000000e+00	100
cross	3	9.013542e-06	0.000000e+00	0.000000e+00	100
cross	3	9.049813e-06	0.000000e+00	0.000000e+00	100
cross	3	9.086085e-06	0.000000e+00	0.000000e+00	100
cross	3	9.122357e-06	0.000000e+00	0.000000e+00	100
cross	3	9.158629e-06	0.000000e+00	0.000000e+00	100
cross	3	9.194901e-06	0.000000e+00	0.000000e+00	100
cross	3	9.231172e-06	0.000000e+00	0.000000e+00	100
cross	3	9.267444e-06	0.000000e+00	0.000000e+00	100
cross	3	9.303716e-06	0.000000e+00	0.000000e+00	100
cross	3	9.339988e-06	0.000000e+00	0.000000e+00	100
cross	3	9.376260e-06	0.000000e+00	0.000000e+00	100
cross	3	9.412531e-06	0.000000e+00	0.000000e+00	100
cross	3	9.448803e-06	0.000000e+00	0.000000e+00	100
cross	3	9.485075e-06	0.000000e+00	0.000000e+00	100
cross	3	9.521347e-06	0.000000e+00	0.000000e+00	100
cross	3	9.557619e-06	0.000000e+00	0.000000e+00	100
cross	3	9.593890e-06	0.000000e+00	0.000000e+00	100
cross	3	9.630162e-06	0.000000e+00	0.000000e+00	100
cross	3	9.666434e-06	0.000000e+00	0.000000e+00	100
cross	3	9.702706e-06	0.000000e+00	0.000000e+00	100
cross	3	9.738978e-06	0.000000e+00	0.000000e+00	100
cross	3	9.775249e-06	0.000000e+00	0.000000e+00	100
cross	3	9.811521e-06	0.000000e+00	0.000000e+00	100
cross	3	9.847793e-06	0.000000e+00	0.000000e+00	100
cross	3	9.884065e-06	0.000000e+00	0.000000e+00	100
cross	3	9.920336e-06	0.000000e+00	0.000000e+00	100
cross	3	9.956608e-06	0.000000e+00	0.000000e+00	100
cross	3	9.992880e-06	0.000000e+00	0.000000e+00	100
cross	3	1.002915e-05	0.000000e+00	0.000000e+00	100
cross	3	1.006542e-05	0.000000e+00	0.000000e+00	100
cross	3	1.010170e-05	0.000000e+00	0.000000e+00	100
cross	3	1.013797e-05	0.000000e+00	0.000000e+00	100
cross	3	1.017424e-05	0.000000e+00	0.000000e+00	100
cross	3	1.021051e-05	0.000000e+00	0.000000e+00	100
cross	3	1.024678e-05	0.000000e+00	0.000000e+00	100
cross	3	1.028305e-05	0.000000e+00	0.000000e+00	100
cross	3	1.031933e-05	0.000000e+00	0.000000e+00	100
cross	3	1.035560e-05	0.000000e+00	0.000000e+00	100
cross	3	1.039187e-05	0.000000e+00	0.000000e+00	100
cross	3	1.042814e-05	0.000000e+00	0.000000e+00	100
cross	3	1.046441e-05	0.000000e+00	0.000000e+00	100
cross	3	1.050069e-05	0.000000e+00	0.000000e+00	100
cross	3	1.053696e-05	0.000000e+00	0.000000e+00	100
cross	3	1.057323e-05	0.000000e+00	0.000000e+00	100
cross	3	1.060950e-05	0.000000e+00	0.000000e+00	100
cross	3	1.064577e-05	0.000000e+00	0.000000e+00	100
cross	3	1.068204e-05	0.000000e+00	0.000000e+00	100
cross	3	1.071832e-05	0.000000e+00	0.000000e+00	100
cross	3	1.075459e-05	0.000000e+00	0.000000e+00	100
