facet,hue,bin_center,mean_density,error,n_seeds,original_n_seeds
cross,3,7.308767e-06,0.0,0.0,0,100
cross,3,7.345039e-06,0.0,0.0,0,100
cross,3,7.381311e-06,0.0,0.0,0,100
cross,3,7.417582e-06,0.0,0.0,0,100
cross,3,7.453854e-06,0.0,0.0,0,100
cross,3,7.490126e-06,0.0,0.0,0,100
cross,3,7.526398e-06,0.0,0.0,0,100
cross,3,7.56267e-06,0.0,0.0,0,100
cross,3,7.598941e-06,0.0,0.0,0,100
cross,3,7.635213e-06,0.0,0.0,0,100
cross,3,7.671485e-06,0.0,0.0,0,100
cross,3,7.707757e-06,0.0,0.0,0,100
cross,3,7.744029e-06,0.0,0.0,0,100
cross,3,7.7803e-06,0.0,0.0,0,100
cross,3,7.816572e-06,0.0,0.0,0,100
cross,3,7.852844e-06,0.0,0.0,0,100
cross,3,7.889116e-06,0.0,0.0,0,100
cross,3,7.925388e-06,0.0,0.0,0,100
cross,3,7.961659e-06,0.0,0.0,0,100
cross,3,7.997931e-06,0.0,0.0,0,100
cross,3,8.034203e-06,0.0,0.0,0,100
cross,3,8.070475e-06,0.0,0.0,0,100
cross,3,8.106747e-06,0.0,0.0,0,100
cross,3,8.143018e-06,0.0,0.0,0,100
cross,3,8.17929e-06,0.0,0.0,0,100
cross,3,8.215562e-06,0.0,0.0,0,100
cross,3,8.251834e-06,0.0,0.0,0,100
cross,3,8.288106e-06,0.0,0.0,0,100
cross,3,8.324377e-06,0.0,0.0,0,100
cross,3,8.360649e-06,0.0,0.0,0,100
cross,3,8.396921e-06,0.0,0.0,0,100
cross,3,8.433193e-06,0.0,0.0,0,100
cross,3,8.469465e-06,0.0,0.0,0,100
cross,3,8.505736e-06,0.0,0.0,0,100
cross,3,8.542008e-06,0.0,0.0,0,100
cross,3,8.57828e-06,0.0,0.0,0,100
cross,3,8.614552e-06,0.0,0.0,0,100
cross,3,8.650824e-06,0.0,0.0,0,100
cross,3,8.687095e-06,0.0,0.0,0,100
cross,3,8.723367e-06,0.0,0.0,0,100
cross,3,8.759639e-06,0.0,0.0,0,100
cross,3,8.795911e-06,0.0,0.0,0,100
cross,3,8.832183e-06,0.0,0.0,0,100
cross,3,8.868454e-06,0.0,0.0,0,100
cross,3,8.904726e-06,0.0,0.0,0,100
cross,3,8.940998e-06,0.0,0.0,0,100
cross,3,8.97727e-06,0.0,0.0,0,100
cross,3,9.013542e-06,0.0,0.0,0,100
cross,3,9.049813e-06,0.0,0.0,0,100
cross,3,9.086085e-06,0.0,0.0,0,100
cross,3,9.122357e-06,0.0,0.0,0,100
cross,3,9.158629e-06,0.0,0.0,0,100
cross,3,9.194901e-06,0.0,0.0,0,100
cross,3,9.231172e-06,0.0,0.0,0,100
cross,3,9.267444e-06,0.0,0.0,0,100
cross,3,9.303716e-06,0.0,0.0,0,100
cross,3,9.339988e-06,0.0,0.0,0,100
cross,3,9.37626e-06,0.0,0.0,0,100
cross,3,9.412531e-06,0.0,0.0,0,100
cross,3,9.448803e-06,0.0,0.0,0,100
cross,3,9.485075e-06,0.0,0.0,0,100
cross,3,9.521347e-06,0.0,0.0,0,100
cross,3,9.557619e-06,0.0,0.0,0,100
cross,3,9.59389e-06,0.0,0.0,0,100
cross,3,9.630162e-06,0.0,0.0,0,100
cross,3,9.666434e-06,0.0,0.0,0,100
cross,3,9.702706e-06,0.0,0.0,0,100
cross,3,9.738978e-06,0.0,0.0,0,100
cross,3,9.775249e-06,0.0,0.0,0,100
cross,3,9.811521e-06,0.0,0.0,0,100
cross,3,9.847793e-06,0.0,0.0,0,100
cross,3,9.884065e-06,0.0,0.0,0,100
cross,3,9.920336e-06,0.0,0.0,0,100
cross,3,9.956608e-06,0.0,0.0,0,100
cross,3,9.99288e-06,0.0,0.0,0,100
cross,3,1.002915e-05,0.0,0.0,0,100
cross,3,1.006542e-05,0.0,0.0,0,100
cross,3,1.01017e-05,0.0,0.0,0,100
cross,3,1.013797e-05,0.0,0.0,0,100
cross,3,1.017424e-05,0.0,0.0,0,100
cross,3,1.021051e-05,0.0,0.0,0,100
cross,3,1.024678e-05,0.0,0.0,0,100
cross,3,1.028305e-05,0.0,0.0,0,100
cross,3,1.031933e-05,0.0,0.0,0,100
cross,3,1.03556e-05,0.0,0.0,0,100
cross,3,1.039187e-05,0.0,0.0,0,100
cross,3,1.042814e-05,0.0,0.0,0,100
cross,3,1.046441e-05,0.0,0.0,0,100
cross,3,1.050069e-05,0.0,0.0,0,100
cross,3,1.053696e-05,0.0,0.0,0,100
cross,3,1.057323e-05,0.0,0.0,0,100
cross,3,1.06095e-05,0.0,0.0,0,100
cross,3,1.064577e-05,0.0,0.0,0,100
cross,3,1.068204e-05,0.0,0.0,0,100
cross,3,1.071832e-05,0.0,0.0,0,100
cross,3,1.075459e-05,0.0,0.0,0,100
cross,3,1.079086e-05,0.0,0.0,0,100
cross,3,1.082713e-05,0.0,0.0,0,100
cross,3,1.08634e-05,0.0,0.0,0,100
cross,3,1.094294e-05,0.0,0.0,0,100
cross,3,1.106677e-05,0.0,0.0,0,100
cross,3,1.119201e-05,0.0,0.0,0,100
cross,3,1.131867e-05,0.0,0.0,0,100
cross,3,1.144676e-05,0.0,0.0,0,100
cross,3,1.157629e-05,0.0,0.0,0,100
cross,3,1.17073e-05,0.0,0.0,0,100
cross,3,1.183978e-05,0.0,0.0,0,100
cross,3,1.197377e-05,0.0,0.0,0,100
cross,3,1.210927e-05,0.0,0.0,0,100
cross,3,1.224631e-05,0.0,0.0,0,100
cross,3,1.23849e-05,0.0,0.0,0,100
cross,3,1.252505e-05,0.0,0.0,0,100
cross,3,1.266679e-05,0.0,0.0,0,100
cross,3,1.281014e-05,0.0,0.0,0,100
cross,3,1.29551e-05,0.0,0.0,0,100
cross,3,1.310171e-05,0.0,0.0,0,100
cross,3,1.324998e-05,0.0,0.0,0,100
cross,3,1.339992e-05,0.0,0.0,0,100
cross,3,1.355156e-05,0.0,0.0,0,100
cross,3,1.370492e-05,0.0,0.0,0,100
cross,3,1.386001e-05,0.0,0.0,0,100
cross,3,1.401686e-05,0.0,0.0,0,100
cross,3,1.417548e-05,0.0,0.0,0,100
cross,3,1.43359e-05,0.0,0.0,0,100
cross,3,1.449814e-05,0.0,0.0,0,100
cross,3,1.466221e-05,0.0,0.0,0,100
cross,3,1.482813e-05,0.0,0.0,0,100
cross,3,1.499594e-05,0.0,0.0,0,100
